anchor,positif,negatif,kelas
13942517/13942517@N00_identity_2@2609440152_0/09.jpg,13942517/13942517@N00_identity_2@4249704878_0/09.jpg,25389244/25389244@N00_identity_1@2379574096_4/09.jpg,"[103, 103, 323]"
28196170/28196170@N02_identity_1@4882610722_1/09.jpg,28196170/28196170@N02_identity_0@4881146359_0/09.jpg,16425649/16425649@N00_identity_2@6923793919_0/09.jpg,"[388, 388, 151]"
28196170/28196170@N02_identity_1@5054394710_0/09.jpg,28196170/28196170@N02_identity_1@8150135535_0/09.jpg,24364325/24364325@N00_identity_2@10736755223_0/09.jpg,"[388, 388, 295]"
83069173/83069173@N00_identity_1@6954703079_0/09.jpg,83069173/83069173@N00_identity_1@2917871472_0/09.jpg,14564599/14564599@N00_identity_0@3205472355_0/09.jpg,"[753, 753, 121]"
80403443/80403443@N00_identity_1@2264862439_0/09.jpg,80403443/80403443@N00_identity_0@119012244_1/09.jpg,60889911/60889911@N00_identity_6@323021269_1/09.jpg,"[706, 706, 476]"
28196170/28196170@N02_identity_0@5664073176_0/09.jpg,28196170/28196170@N02_identity_0@4881146359_0/09.jpg,82698525/82698525@N00_identity_27@3604659949_2/09.jpg,"[388, 388, 746]"
19777176/19777176@N00_identity_0@2497629533_0/09.jpg,19777176/19777176@N00_identity_0@399019429_0/09.jpg,27503801/27503801@N08_identity_23@2728084230_0/09.jpg,"[190, 190, 372]"
28196170/28196170@N02_identity_1@6866251404_0/09.jpg,28196170/28196170@N02_identity_0@6123875644_0/09.jpg,25911208/25911208@N04_identity_0@3067352279_0/09.jpg,"[388, 388, 337]"
24133132/24133132@N04_identity_1@2665103156_0/09.jpg,24133132/24133132@N04_identity_1@2296019236_3/09.jpg,22770426/22770426@N03_identity_1@3615096780_0/09.jpg,"[287, 287, 250]"
98642193/98642193@N00_identity_0@3657934561_0/09.jpg,98642193/98642193@N00_identity_0@2689089514_1/09.jpg,96552722/96552722@N00_identity_6@325597848_0/09.jpg,"[978, 978, 945]"
79704473/79704473@N00_identity_0@8477149898_0/09.jpg,79704473/79704473@N00_identity_0@9526249343_0/09.jpg,27073477/27073477@N00_identity_50@11588591794_1/09.jpg,"[689, 689, 356]"
87652690/87652690@N00_identity_3@7176619421_0/09.jpg,87652690/87652690@N00_identity_3@7049269109_0/09.jpg,63131831/63131831@N00_identity_20@5122346314_0/09.jpg,"[822, 822, 512]"
76529721/76529721@N00_identity_2@1806565493_0/09.jpg,76529721/76529721@N00_identity_2@537500224_0/09.jpg,12376942/12376942@N08_identity_2@2794771530_0/09.jpg,"[649, 649, 73]"
31513185/31513185@N03_identity_0@5047605869_0/09.jpg,31513185/31513185@N03_identity_0@5364736910_0/09.jpg,91772175/91772175@N00_identity_1@2112401816_0/09.jpg,"[448, 448, 878]"
28196170/28196170@N02_identity_1@5663869370_0/09.jpg,28196170/28196170@N02_identity_0@5661829169_0/09.jpg,21857625/21857625@N06_identity_10@2220012380_8/09.jpg,"[388, 388, 225]"
28196170/28196170@N02_identity_1@6099267820_0/09.jpg,28196170/28196170@N02_identity_0@4881501294_0/09.jpg,64575479/64575479@N00_identity_1@533575867_2/09.jpg,"[388, 388, 527]"
21444820/21444820@N02_identity_3@7695559662_0/09.jpg,21444820/21444820@N02_identity_3@7594578744_3/09.jpg,65444847/65444847@N07_identity_17@6329074235_0/09.jpg,"[219, 219, 539]"
72675636/72675636@N00_identity_1@2157115896_1/09.jpg,72675636/72675636@N00_identity_1@265587012_5/09.jpg,8495919/8495919@N02_identity_17@4368819351_1/09.jpg,"[615, 615, 785]"
28196170/28196170@N02_identity_0@5055964804_0/09.jpg,28196170/28196170@N02_identity_1@7010259945_0/09.jpg,68901280/68901280@N00_identity_3@10018568014_0/09.jpg,"[388, 388, 582]"
96552496/96552496@N00_identity_1@783913339_0/09.jpg,96552496/96552496@N00_identity_1@803863651_0/09.jpg,30129271/30129271@N00_identity_2@796601565_0/09.jpg,"[944, 944, 420]"
94343895/94343895@N00_identity_3@2468027632_0/09.jpg,94343895/94343895@N00_identity_0@5259030221_0/09.jpg,79045485/79045485@N00_identity_6@3150626943_0/09.jpg,"[912, 912, 680]"
29427020/29427020@N00_identity_12@385995180_0/09.jpg,29427020/29427020@N00_identity_12@2064221547_18/09.jpg,27423327/27423327@N08_identity_14@8333884873_0/09.jpg,"[405, 405, 370]"
12078789/12078789@N00_identity_0@4008583895_1/09.jpg,12078789/12078789@N00_identity_0@3029169667_1/09.jpg,9298332/9298332@N06_identity_1@6180289910_0/09.jpg,"[65, 65, 895]"
98642193/98642193@N00_identity_2@2462854101_2/09.jpg,98642193/98642193@N00_identity_0@3762937384_1/09.jpg,71947277/71947277@N00_identity_2@4956708822_0/09.jpg,"[978, 978, 611]"
28196170/28196170@N02_identity_0@7010205793_0/09.jpg,28196170/28196170@N02_identity_1@4882176260_0/09.jpg,26361026/26361026@N05_identity_6@6327483648_0/09.jpg,"[388, 388, 347]"
87652690/87652690@N00_identity_3@11663285965_0/09.jpg,87652690/87652690@N00_identity_3@2773246687_0/09.jpg,65444847/65444847@N07_identity_17@6329074235_0/09.jpg,"[822, 822, 539]"
8246716/8246716@N04_identity_0@2449343592_5/09.jpg,8246716/8246716@N04_identity_0@2465758567_0/09.jpg,23737563/23737563@N00_identity_2@1010760164_0/09.jpg,"[741, 741, 276]"
75802402/75802402@N00_identity_2@562184842_0/09.jpg,75802402/75802402@N00_identity_2@2747624850_0/09.jpg,30065725/30065725@N00_identity_4@3126823069_1/09.jpg,"[640, 640, 415]"
